Geography,Population Estimate (as of July 1) - 2015
"San Diego County, California",3299521
"San Francisco County, California",864816
"San Joaquin County, California",726106
"San Luis Obispo County, California",281401
"San Mateo County, California",765135
"Santa Barbara County, California",444769
"Santa Clara County, California",1918044
"Santa Cruz County, California",274146
"Shasta County, California",179533
"Sierra County, California",2967
"Siskiyou County, California",43554
"Solano County, California",436092
"Sonoma County, California",502146
"Stanislaus County, California",538388
"Sutter County, California",96463
"Tehama County, California",63308
"Trinity County, California",13069
"Tulare County, California",459863
"Tuolumne County, California",53709
"Ventura County, California",850536
"Yolo County, California",213016
"Yuba County, California",74492
"Adams County, Colorado",491337
"Alamosa County, Colorado",16496
"Arapahoe County, Colorado",631096
"Archuleta County, Colorado",12352
"Baca County, Colorado",3615
"Bent County, Colorado",5830
"Boulder County, Colorado",319372
"Broomfield County, Colorado",65065
"Chaffee County, Colorado",18658
"Cheyenne County, Colorado",1829
"Clear Creek County, Colorado",9303
"Conejos County, Colorado",8130
"Costilla County, Colorado",3584
"Crowley County, Colorado",5562
"Custer County, Colorado",4445
"Delta County, Colorado",29979
"Denver County, Colorado",682545
"Dolores County, Colorado",1978
"Douglas County, Colorado",322387
"Eagle County, Colorado",53605
"Elbert County, Colorado",24735
"El Paso County, Colorado",674471
"Fremont County, Colorado",46692
"Garfield County, Colorado",58095
"Gilpin County, Colorado",5828
"Grand County, Colorado",14615
"Gunnison County, Colorado",16067
"Hinsdale County, Colorado",774
"Huerfano County, Colorado",6492
"Jackson County, Colorado",1356
"Jefferson County, Colorado",565524
"Kiowa County, Colorado",1423
"Kit Carson County, Colorado",7758
"Lake County, Colorado",7485
"La Plata County, Colorado",54688
"Larimer County, Colorado",333577
"Las Animas County, Colorado",14058
"Lincoln County, Colorado",5557
"Logan County, Colorado",22036
"Mesa County, Colorado",148513
"Mineral County, Colorado",726
"Moffat County, Colorado",12937
"Montezuma County, Colorado",26168
"Montrose County, Colorado",40946
"Morgan County, Colorado",28360
"Otero County, Colorado",18343
"Ouray County, Colorado",4691
"Park County, Colorado",16510
"Phillips County, Colorado",4349
"Pitkin County, Colorado",17787
"Prowers County, Colorado",11954
"Pueblo County, Colorado",163591
"Rio Blanco County, Colorado",6571
"Rio Grande County, Colorado",11543
"Routt County, Colorado",24130
"Saguache County, Colorado",6251
"San Juan County, Colorado",701
"San Miguel County, Colorado",7879
"Sedgwick County, Colorado",2399
"Summit County, Colorado",30257
"Teller County, Colorado",23385
"Washington County, Colorado",4864
"Weld County, Colorado",285174
"Yuma County, Colorado",10146
"Fairfield County, Connecticut",948053
"Hartford County, Connecticut",895841
"Litchfield County, Connecticut",183603
"Middlesex County, Connecticut",164063
"New Haven County, Connecticut",859470
"New London County, Connecticut",271863
"Tolland County, Connecticut",151420
"Windham County, Connecticut",116573
"Kent County, Delaware",173533
"New Castle County, Delaware",556779
"Sussex County, Delaware",215622
"District of Columbia, District of Columbia",672228
"Alachua County, Florida",259964
"Baker County, Florida",27420
"Bay County, Florida",181635
"Bradford County, Florida",26928
"Brevard County, Florida",568088
"Broward County, Florida",1896425
"Calhoun County, Florida",14462
"Charlotte County, Florida",173115
"Citrus County, Florida",141058
"Clay County, Florida",203967
"Collier County, Florida",357305
"Columbia County, Florida",68348
"DeSoto County, Florida",35458
"Dixie County, Florida",16203
"Duval County, Florida",913010
"Escambia County, Florida",311003
"Flagler County, Florida",105392
"Franklin County, Florida",11761
"Gadsden County, Florida",46036
"Gilchrist County, Florida",17199
"Glades County, Florida",13670
"Gulf County, Florida",15871
"Hamilton County, Florida",14295
"Hardee County, Florida",27502
"Hendry County, Florida",39119
"Hernando County, Florida",178439
"Highlands County, Florida",99491
"Hillsborough County, Florida",1349050
"Holmes County, Florida",19324
"Indian River County, Florida",147919
"Jackson County, Florida",48599
"Jefferson County, Florida",14081
"Lafayette County, Florida",8663
"Lake County, Florida",325875
"Lee County, Florida",701982
"Leon County, Florida",286272
"Levy County, Florida",39832
"Liberty County, Florida",8331
"Madison County, Florida",18408
"Manatee County, Florida",363369
"Marion County, Florida",343254
"Martin County, Florida",156283
"Miami-Dade County, Florida",2693117
"Monroe County, Florida",77482
"Nassau County, Florida",78444
"Okaloosa County, Florida",198664
"Okeechobee County, Florida",39469
"Orange County, Florida",1288126
"Osceola County, Florida",323993
"Palm Beach County, Florida",1422789
"Pasco County, Florida",497909
"Pinellas County, Florida",949827
"Polk County, Florida",650092
"Putnam County, Florida",72023
"St. Johns County, Florida",226640
"St. Lucie County, Florida",298563
"Santa Rosa County, Florida",167040
"Sarasota County, Florida",405549
"Seminole County, Florida",449144
"Sumter County, Florida",118891
"Suwannee County, Florida",43760
"Taylor County, Florida",22493
"Union County, Florida",15234
"Volusia County, Florida",517887
"Wakulla County, Florida",31535
"Walton County, Florida",63508
"Washington County, Florida",24687
"Appling County, Georgia",18454
"Atkinson County, Georgia",8398
"Bacon County, Georgia",11299
"Baker County, Georgia",3180
"Baldwin County, Georgia",45459
"Banks County, Georgia",18495
"Barrow County, Georgia",75370
"Bartow County, Georgia",102747
"Ben Hill County, Georgia",17403
"Berrien County, Georgia",18963
"Bibb County, Georgia",153721
"Bleckley County, Georgia",12243
"Brantley County, Georgia",18455
"Brooks County, Georgia",15658
"Bryan County, Georgia",35137
"Bulloch County, Georgia",72651
"Burke County, Georgia",22745
"Butts County, Georgia",23593
"Calhoun County, Georgia",6479
"Camden County, Georgia",52102
"Candler County, Georgia",10886
"Carroll County, Georgia",114545
"Catoosa County, Georgia",66050
"Charlton County, Georgia",12965
"Chatham County, Georgia",286956
"Chattahoochee County, Georgia",11368
"Chattooga County, Georgia",24922
"Cherokee County, Georgia",235900
"Clarke County, Georgia",123912
"Clay County, Georgia",3141
"Clayton County, Georgia",273955
"Clinch County, Georgia",6893
"Cobb County, Georgia",741334
"Coffee County, Georgia",43108
"Colquitt County, Georgia",45844
"Columbia County, Georgia",144052
"Cook County, Georgia",17124
"Coweta County, Georgia",138427
"Crawford County, Georgia",12388
"Crisp County, Georgia",22881
"Dade County, Georgia",16264
"Dawson County, Georgia",23312
"Decatur County, Georgia",27174
"DeKalb County, Georgia",734871
"Dodge County, Georgia",20882
"Dooly County, Georgia",14035
"Dougherty County, Georgia",91332
"Douglas County, Georgia",140733
"Early County, Georgia",10575
"Echols County, Georgia",4040
"Effingham County, Georgia",57106
"Elbert County, Georgia",19364
"Emanuel County, Georgia",22708
"Evans County, Georgia",10787
"Fannin County, Georgia",24303
"Fayette County, Georgia",110714
"Floyd County, Georgia",96504
"Forsyth County, Georgia",212438
"Franklin County, Georgia",22311
"Fulton County, Georgia",1010562
"Gilmer County, Georgia",29400
"Glascock County, Georgia",3065
"Glynn County, Georgia",83579
"Gordon County, Georgia",56574
"Grady County, Georgia",25205
"Greene County, Georgia",16710
"Gwinnett County, Georgia",895823
"Habersham County, Georgia",43996
"Hall County, Georgia",193535
"Hancock County, Georgia",8551
"Haralson County, Georgia",28854
"Harris County, Georgia",33381
"Hart County, Georgia",25534
"Heard County, Georgia",11539
"Henry County, Georgia",217739
"Houston County, Georgia",150033
"Irwin County, Georgia",9245
"Jackson County, Georgia",63360
"Jasper County, Georgia",13635
"Jeff Davis County, Georgia",14920
"Jefferson County, Georgia",16106
"Jenkins County, Georgia",8957
"Johnson County, Georgia",9656
"Jones County, Georgia",28494
"Lamar County, Georgia",18201
"Lanier County, Georgia",10312
"Laurens County, Georgia",47731
"Lee County, Georgia",29202
"Liberty County, Georgia",62467
"Lincoln County, Georgia",7673
"Long County, Georgia",17731
"Lowndes County, Georgia",112865
"Lumpkin County, Georgia",31408
"McDuffie County, Georgia",21540
"McIntosh County, Georgia",13969
"Macon County, Georgia",13632
"Madison County, Georgia",28441
"Marion County, Georgia",8761
"Meriwether County, Georgia",21190
"Miller County, Georgia",5854
"Mitchell County, Georgia",22574
"Monroe County, Georgia",27103
"Montgomery County, Georgia",8951
"Morgan County, Georgia",18046
"Murray County, Georgia",39565
"Muscogee County, Georgia",200579
"Newton County, Georgia",105473
"Oconee County, Georgia",35965
"Oglethorpe County, Georgia",14871
"Paulding County, Georgia",152238
"Peach County, Georgia",26720
"Pickens County, Georgia",30309
"Pierce County, Georgia",19103
"Pike County, Georgia",17941
"Polk County, Georgia",41524
"Pulaski County, Georgia",11396
"Putnam County, Georgia",21353
"Quitman County, Georgia",2302
"Rabun County, Georgia",16281
"Randolph County, Georgia",7193
"Richmond County, Georgia",201793
"Rockdale County, Georgia",88856
"Schley County, Georgia",5168
"Screven County, Georgia",14162
"Seminole County, Georgia",8647
"Spalding County, Georgia",64051
"Stephens County, Georgia",25586
"Stewart County, Georgia",5851
"Sumter County, Georgia",30779
"Talbot County, Georgia",6337
"Taliaferro County, Georgia",1639
"Tattnall County, Georgia",25229
"Taylor County, Georgia",8330
"Telfair County, Georgia",16400
"Terrell County, Georgia",9113
"Thomas County, Georgia",45063
"Tift County, Georgia",40764
"Toombs County, Georgia",27241
"Towns County, Georgia",11182
"Treutlen County, Georgia",6785
"Troup County, Georgia",69763
"Turner County, Georgia",8214
"Twiggs County, Georgia",8390
"Union County, Georgia",22267
"Upson County, Georgia",26368
"Walker County, Georgia",68066
"Walton County, Georgia",88399
"Ware County, Georgia",35370
"Warren County, Georgia",5460
"Washington County, Georgia",20816
"Wayne County, Georgia",29534
"Webster County, Georgia",2648
"Wheeler County, Georgia",7903
"White County, Georgia",28319
"Whitfield County, Georgia",104216
"Wilcox County, Georgia",8857
"Wilkes County, Georgia",9867
"Wilkinson County, Georgia",9155
"Worth County, Georgia",20699
"Hawaii County, Hawaii",196428
"Honolulu County, Hawaii",998714
"Kalawao County, Hawaii",89
"Kauai County, Hawaii",71735
"Maui County, Hawaii",164637
"Ada County, Idaho",434211
"Adams County, Idaho",3843
"Bannock County, Idaho",83744
"Bear Lake County, Idaho",5922
"Benewah County, Idaho",9052
"Bingham County, Idaho",44990
"Blaine County, Idaho",21592
"Boise County, Idaho",7058
"Bonner County, Idaho",41859
"Bonneville County, Idaho",110089
"Boundary County, Idaho",11318
"Butte County, Idaho",2501
"Camas County, Idaho",1066
"Canyon County, Idaho",207478
"Caribou County, Idaho",6770
"Cassia County, Idaho",23506
"Clark County, Idaho",880
"Clearwater County, Idaho",8496
"Custer County, Idaho",4087
"Elmore County, Idaho",25876
"Franklin County, Idaho",13074
"Fremont County, Idaho",12819
"Gem County, Idaho",16852
"Gooding County, Idaho",15284
"Idaho County, Idaho",16272
"Jefferson County, Idaho",27157
"Jerome County, Idaho",22814
"Kootenai County, Idaho",150346
"Latah County, Idaho",38778
"Lemhi County, Idaho",7735
"Lewis County, Idaho",3789
"Lincoln County, Idaho",5297
"Madison County, Idaho",38273
"Minidoka County, Idaho",20461
"Nez Perce County, Idaho",40048
"Oneida County, Idaho",4281
"Owyhee County, Idaho",11310
"Payette County, Idaho",22896
"Power County, Idaho",7648
"Shoshone County, Idaho",12432
"Teton County, Idaho",10564
"Twin Falls County, Idaho",82375
"Valley County, Idaho",10103
"Washington County, Idaho",9984
"Adams County, Illinois",67013
"Alexander County, Illinois",6780
"Bond County, Illinois",16950
"Boone County, Illinois",53585
"Brown County, Illinois",6829
"Bureau County, Illinois",33587
"Calhoun County, Illinois",4899
"Carroll County, Illinois",14616
"Cass County, Illinois",12847
"Champaign County, Illinois",208861
"Christian County, Illinois",33642
"Clark County, Illinois",15979
"Clay County, Illinois",13428
"Clinton County, Illinois",37786
"Coles County, Illinois",52521
"Cook County, Illinois",5238216
"Crawford County, Illinois",19414
"Cumberland County, Illinois",10898
"DeKalb County, Illinois",104352
"De Witt County, Illinois",16247
"Douglas County, Illinois",19823
"DuPage County, Illinois",933736
"Edgar County, Illinois",17664
"Edwards County, Illinois",6534
"Effingham County, Illinois",34371
"Fayette County, Illinois",22043
"Ford County, Illinois",13736
"Franklin County, Illinois",39485
"Fulton County, Illinois",35699
"Gallatin County, Illinois",5265
"Greene County, Illinois",13241
"Grundy County, Illinois",50541
"Hamilton County, Illinois",8200
"Hancock County, Illinois",18543
"Hardin County, Illinois",4135
"Henderson County, Illinois",6995
"Henry County, Illinois",49489
"Iroquois County, Illinois",28672
"Jackson County, Illinois",59362
"Jasper County, Illinois",9607
"Jefferson County, Illinois",38353
"Jersey County, Illinois",22372
"Jo Daviess County, Illinois",22086
"Johnson County, Illinois",12762
"Kane County, Illinois",530847
"Kankakee County, Illinois",110879
"Kendall County, Illinois",123355
"Knox County, Illinois",51441
"Lake County, Illinois",703910
"LaSalle County, Illinois",111333
"Lawrence County, Illinois",16491
"Lee County, Illinois",34584
"Livingston County, Illinois",36671
"Logan County, Illinois",29494
"McDonough County, Illinois",31333
"McHenry County, Illinois",307343
"McLean County, Illinois",173166
"Macon County, Illinois",107303
"Macoupin County, Illinois",46045
"Madison County, Illinois",266209
"Marion County, Illinois",38339
"Marshall County, Illinois",11982
"Mason County, Illinois",13701
"Massac County, Illinois",14766
"Menard County, Illinois",12444
"Mercer County, Illinois",15858
"Monroe County, Illinois",33879
"Montgomery County, Illinois",28898
"Morgan County, Illinois",34828
"Moultrie County, Illinois",14931
"Ogle County, Illinois",51659
"Peoria County, Illinois",186221
"Perry County, Illinois",21543
"Piatt County, Illinois",16387
"Pike County, Illinois",15989
"Pope County, Illinois",4226
"Pulaski County, Illinois",5678
"Putnam County, Illinois",5644
"Randolph County, Illinois",32852
"Richland County, Illinois",16029
"Rock Island County, Illinois",146133
"St. Clair County, Illinois",264052
"Saline County, Illinois",24548
"Sangamon County, Illinois",198712
"Schuyler County, Illinois",7032
"Scott County, Illinois",5092
"Shelby County, Illinois",21775
"Stark County, Illinois",5788
"Stephenson County, Illinois",45749
"Tazewell County, Illinois",134800
"Union County, Illinois",17408
"Vermilion County, Illinois",79282
"Wabash County, Illinois",11542
"Warren County, Illinois",17527
"Washington County, Illinois",14270
"Wayne County, Illinois",16423
"White County, Illinois",14327
"Whiteside County, Illinois",57079
"Will County, Illinois",687263
"Williamson County, Illinois",67466
"Winnebago County, Illinois",287078
"Woodford County, Illinois",39227
"Adams County, Indiana",34980
"Allen County, Indiana",368450
"Bartholomew County, Indiana",81162
"Benton County, Indiana",8681
"Blackford County, Indiana",12298
"Boone County, Indiana",63344
"Brown County, Indiana",14977
"Carroll County, Indiana",19856
"Cass County, Indiana",37979
"Clark County, Indiana",115371
"Clay County, Indiana",26503
"Clinton County, Indiana",32609
"Crawford County, Indiana",10483
"Daviess County, Indiana",32906
"Dearborn County, Indiana",49455
"Decatur County, Indiana",26521
"DeKalb County, Indiana",42589
"Delaware County, Indiana",116852
"Dubois County, Indiana",42461
"Elkhart County, Indiana",203474
"Fayette County, Indiana",23434
"Floyd County, Indiana",76778
"Fountain County, Indiana",16591
"Franklin County, Indiana",22872
"Fulton County, Indiana",20315
"Gibson County, Indiana",33775
"Grant County, Indiana",67979
"Greene County, Indiana",32441
"Hamilton County, Indiana",309697
"Hancock County, Indiana",72520
"Harrison County, Indiana",39578
"Hendricks County, Indiana",158192
"Henry County, Indiana",48985
"Howard County, Indiana",82556
"Huntington County, Indiana",36630
"Jackson County, Indiana",44069
"Jasper County, Indiana",33470
"Jay County, Indiana",21121
"Jefferson County, Indiana",32416
"Jennings County, Indiana",27897
"Johnson County, Indiana",149633
"Knox County, Indiana",37927
"Kosciusko County, Indiana",78620
"LaGrange County, Indiana",38809
"Lake County, Indiana",487865
"LaPorte County, Indiana",110884
"Lawrence County, Indiana",45495
"Madison County, Indiana",129723
"Marion County, Indiana",939020
"Marshall County, Indiana",46857
"Martin County, Indiana",10226
"Miami County, Indiana",35862
"Monroe County, Indiana",144705
"Montgomery County, Indiana",38227
"Morgan County, Indiana",69648
"Newton County, Indiana",14008
"Noble County, Indiana",47733
"Ohio County, Indiana",5938
"Orange County, Indiana",19605
"Owen County, Indiana",20872
"Parke County, Indiana",16901
"Perry County, Indiana",19347
"Pike County, Indiana",12594
"Porter County, Indiana",167688
"Posey County, Indiana",25512
"Pulaski County, Indiana",12889
"Putnam County, Indiana",37585
"Randolph County, Indiana",25172
"Ripley County, Indiana",28701
"Rush County, Indiana",16672
"St. Joseph County, Indiana",268441
"Scott County, Indiana",23744
"Shelby County, Indiana",44478
"Spencer County, Indiana",20715
"Starke County, Indiana",22958
"Steuben County, Indiana",34372
"Sullivan County, Indiana",20928
"Switzerland County, Indiana",10524
"Tippecanoe County, Indiana",185826
"Tipton County, Indiana",15267
"Union County, Indiana",7182
"Vanderburgh County, Indiana",181877
"Vermillion County, Indiana",15692
"Vigo County, Indiana",107896
"Wabash County, Indiana",32138
"Warren County, Indiana",8269
"Warrick County, Indiana",61897
"Washington County, Indiana",27827
"Wayne County, Indiana",67001
"Wells County, Indiana",27964
"White County, Indiana",24293
"Whitley County, Indiana",33406
"Adair County, Iowa",7228
"Adams County, Iowa",3796
"Allamakee County, Iowa",13886
"Appanoose County, Iowa",12529
"Audubon County, Iowa",5773
"Benton County, Iowa",25658
"Black Hawk County, Iowa",133455
"Boone County, Iowa",26643
"Bremer County, Iowa",24722
"Buchanan County, Iowa",21062
"Buena Vista County, Iowa",20493
"Butler County, Iowa",14915
"Calhoun County, Iowa",9818
"Carroll County, Iowa",20498
"Cass County, Iowa",13427
"Cedar County, Iowa",18340
"Cerro Gordo County, Iowa",43017
"Cherokee County, Iowa",11574
"Chickasaw County, Iowa",12097
"Clarke County, Iowa",9259
"Clay County, Iowa",16507
"Clayton County, Iowa",17644
"Clinton County, Iowa",47768
"Crawford County, Iowa",17094
"Dallas County, Iowa",80133
"Davis County, Iowa",8769
"Decatur County, Iowa",8220
"Delaware County, Iowa",17403
"Des Moines County, Iowa",40055
"Dickinson County, Iowa",17111
"Dubuque County, Iowa",97125
"Emmet County, Iowa",9769
"Fayette County, Iowa",20257
"Floyd County, Iowa",15960
"Franklin County, Iowa",10295
"Fremont County, Iowa",6906
"Greene County, Iowa",9027
"Grundy County, Iowa",12435
"Guthrie County, Iowa",10676
"Hamilton County, Iowa",15190
"Hancock County, Iowa",10974
"Hardin County, Iowa",17367
"Harrison County, Iowa",14265
"Henry County, Iowa",19950
"Howard County, Iowa",9410
"Humboldt County, Iowa",9555
"Ida County, Iowa",7028
"Iowa County, Iowa",16401
"Jackson County, Iowa",19444
"Jasper County, Iowa",36827
"Jefferson County, Iowa",17555
"Johnson County, Iowa",144251
"Jones County, Iowa",20466
"Keokuk County, Iowa",10163
"Kossuth County, Iowa",15165
"Lee County, Iowa",35089
"Linn County, Iowa",219916
"Louisa County, Iowa",11185
"Lucas County, Iowa",8682
"Lyon County, Iowa",11745
"Madison County, Iowa",15753
"Mahaska County, Iowa",22324
"Marion County, Iowa",33294
"Marshall County, Iowa",40746
"Mills County, Iowa",14844
"Mitchell County, Iowa",10832
"Monona County, Iowa",8979
"Monroe County, Iowa",7973
"Montgomery County, Iowa",10234
"Muscatine County, Iowa",43011
"O'Brien County, Iowa",13984
"Osceola County, Iowa",6154
"Page County, Iowa",15527
"Palo Alto County, Iowa",9133
"Plymouth County, Iowa",24800
"Pocahontas County, Iowa",7008
"Polk County, Iowa",467711
"Pottawattamie County, Iowa",93671
"Poweshiek County, Iowa",18550
"Ringgold County, Iowa",5068
"Sac County, Iowa",10021
"Scott County, Iowa",172126
"Shelby County, Iowa",11927
"Sioux County, Iowa",34937
"Story County, Iowa",96021
"Tama County, Iowa",17337
"Taylor County, Iowa",6205
"Union County, Iowa",12469
"Van Buren County, Iowa",7344
"Wapello County, Iowa",35173
"Warren County, Iowa",48626
"Washington County, Iowa",22247
"Wayne County, Iowa",6385
"Webster County, Iowa",37071
"Winnebago County, Iowa",10609
"Winneshiek County, Iowa",20709
"Woodbury County, Iowa",102782
"Worth County, Iowa",7569
"Wright County, Iowa",12773
"Allen County, Kansas",12717
"Anderson County, Kansas",7808
"Atchison County, Kansas",16398
"Barber County, Kansas",4823
"Barton County, Kansas",27103
"Bourbon County, Kansas",14712
"Brown County, Kansas",9776
"Butler County, Kansas",66741
"Chase County, Kansas",2679
"Chautauqua County, Kansas",3402
"Cherokee County, Kansas",20533
"Cheyenne County, Kansas",2679
"Clark County, Kansas",2096
"Clay County, Kansas",8347
"Cloud County, Kansas",9219
"Coffey County, Kansas",8384
"Comanche County, Kansas",1843
"Cowley County, Kansas",35788
"Crawford County, Kansas",39217
"Decatur County, Kansas",2932
"Dickinson County, Kansas",19303
"Doniphan County, Kansas",7797
"Douglas County, Kansas",118053
"Edwards County, Kansas",2968
"Elk County, Kansas",2605
"Ellis County, Kansas",29029
"Ellsworth County, Kansas",6343
"Finney County, Kansas",37118
"Ford County, Kansas",34536
"Franklin County, Kansas",25609
"Geary County, Kansas",37030
"Gove County, Kansas",2640
"Graham County, Kansas",2591
"Grant County, Kansas",7733
"Gray County, Kansas",6133
"Greeley County, Kansas",1330
"Greenwood County, Kansas",6244
"Hamilton County, Kansas",2474
"Harper County, Kansas",5817
"Harvey County, Kansas",35073
